Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2009-01-03	0	0.000271797180176	0	1	1	1	1	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-04	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-05	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-06	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-07	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-08	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-09	0	0.000205039978027	0	14	14	1	14	700	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-10	0	0.000205039978027	0	31	31	1	31	1550	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-11	0	0.000205408852055	0	106	106	1	106	5300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-12	0	0.000221477465683	24	96	95	1	95	4601	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-13	0	0.000207975636358	10	117	116	1	116	5778	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-14	0	0.000205887688531	0	126	126	1	126	6300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-15	0	0.00023054888868	414	136	136	1	136	6911	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-16	0	0.000208188747538	100	117	117	1	117	5900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-17	0	0.00020812175892	100	109	109	1	109	5500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-18	0	0.000205946440744	0	101	101	1	101	5050	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-19	0	0.000209383603905	150	120	120	1	120	6100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-20	0	0.000221984139804	775	118	118	1	118	6575	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-21	0	0.000216998885163	500	115	115	1	115	6150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
