Date,Value
2016-02-12,5799145650.0
2016-02-11,5726044293.75
2016-02-10,5758117900.5
2016-02-09,5659759595.0
2016-02-08,5706626345.0
2016-02-07,5673840375.0
2016-02-06,5661516168.0
2016-02-05,5863797293.25
2016-02-04,5840368670.5
2016-02-03,5585672264.0
2016-02-02,5661377906.0
2016-02-01,5637418200.0
2016-01-31,5709410157.0
2016-01-30,5728624464.0
2016-01-29,5712112523.0
2016-01-28,5788917792.0
2016-01-27,5969251295.0
2016-01-26,5962740010.0
2016-01-25,5854794313.5
2016-01-24,6120153918.75
2016-01-23,5872828237.5
2016-01-22,5828775540.0
2016-01-21,6164094600.0
2016-01-20,6167712359.25
2016-01-19,5718173059.5
2016-01-18,5816707008.0
2016-01-17,5817587213.75
2016-01-16,5589150800.0
2016-01-15,5907989110.5
2016-01-14,6514326105.0
2016-01-13,6477765250.5
2016-01-12,6733767994.5
2016-01-11,6738584831.75
2016-01-10,6723576172.0
2016-01-09,6780575688.75
2016-01-08,6731953008.0
2016-01-07,6830411223.25
2016-01-06,6483207481.25
2016-01-05,6499047642.5
2016-01-04,6513835500.0
2016-01-03,6438700586.25
2016-01-02,6524461476.0
2016-01-01,6498773751.75
2015-12-31,6452379124.0
2015-12-30,6430700000.0
2015-12-29,6475863612.75
2015-12-28,6366854662.5
2015-12-27,6282277211.0
2015-12-26,6273183470.25
2015-12-25,6826212808.5
2015-12-24,6809238651.25
2015-12-23,6619344750.0
2015-12-22,6536266657.5
2015-12-21,6575498820.0
2015-12-20,6518066555.0
2015-12-19,6908418909.0
2015-12-18,6873533517.5
2015-12-17,6788449783.5
2015-12-16,6802214980.25
2015-12-15,6875876973.0
2015-12-14,6666020040.0
2015-12-13,6562214147.5
2015-12-12,6370246741.5
2015-12-11,6640958131.5
2015-12-10,6210898129.0
2015-12-09,6184512430.75
2015-12-08,5898642413.5
2015-12-07,5905880836.5
2015-12-06,5821698036.0
2015-12-05,5636186752.0
2015-12-04,5383391312.0
2015-12-03,5406085237.5
2015-12-02,5382265947.0
2015-12-01,5356194597.0
2015-11-30,5551320987.75
