Date,Value
2016-02-07,1276.0
2016-02-06,1184.0
2016-02-05,1384.0
2016-02-04,1365.0
2016-02-03,1369.0
2016-02-02,1165.0
2016-02-01,1218.0
2016-01-31,1199.0
2016-01-30,1086.0
2016-01-29,1149.0
2016-01-28,1414.0
2016-01-27,1260.0
2016-01-26,942.0
2016-01-25,1186.0
2016-01-24,1309.0
2016-01-23,1563.0
2016-01-22,1470.0
2016-01-21,1440.0
2016-01-20,1217.0
2016-01-19,1166.0
2016-01-18,1122.0
2016-01-17,1370.0
2016-01-16,1568.0
2016-01-15,1342.0
2016-01-14,1380.0
2016-01-13,1222.0
2016-01-12,1386.0
2016-01-11,1369.0
2016-01-10,1504.0
2016-01-09,1389.0
2016-01-08,1252.0
2016-01-07,1117.0
2016-01-06,1057.0
2016-01-05,968.0
2016-01-04,1121.0
2016-01-03,1085.0
2016-01-02,1235.0
2016-01-01,1304.0
2015-12-31,1147.0
2015-12-30,972.0
2015-12-29,946.0
2015-12-28,1043.0
2015-12-27,915.0
2015-12-26,1139.0
2015-12-25,1051.0
2015-12-24,1230.0
2015-12-23,1036.0
2015-12-22,802.0
2015-12-21,918.0
2015-12-20,1374.0
2015-12-19,1524.0
2015-12-18,1341.0
2015-12-17,1582.0
2015-12-16,1442.0
2015-12-15,1132.0
2015-12-14,1399.0
2015-12-13,1339.0
2015-12-12,1381.0
2015-12-11,1324.0
2015-12-10,1179.0
2015-12-09,1258.0
2015-12-08,1249.0
2015-12-07,1266.0
2015-12-06,1206.0
2015-12-05,1078.0
2015-12-04,1257.0
2015-12-03,1208.0
2015-12-02,1230.0
2015-12-01,1045.0
2015-11-30,1191.0
2015-11-29,1102.0
2015-11-28,1182.0
2015-11-27,1205.0
2015-11-26,960.0
2015-11-25,1147.0
2015-11-24,832.0
2015-11-23,1175.0
2015-11-22,1051.0
2015-11-21,1016.0
2015-11-20,990.0
2015-11-19,987.0
2015-11-18,891.0
2015-11-17,727.0
2015-11-16,892.0
2015-11-15,975.0
2015-11-14,1104.0
2015-11-13,1204.0
2015-11-12,982.0
2015-11-11,857.0
2015-11-10,954.0
2015-11-09,1026.0
2015-11-08,940.0
2015-11-07,1056.0
2015-11-06,967.0
2015-11-05,1077.0
2015-11-04,1039.0
2015-11-03,962.0
2015-11-02,991.0
2015-11-01,1205.0
2015-10-31,1270.0
2015-10-30,1362.0
2015-10-29,1126.0
2015-10-28,1101.0
2015-10-27,985.0
2015-10-26,1021.0
2015-10-25,1005.0
2015-10-24,1119.0
2015-10-23,1138.0
2015-10-22,896.0
2015-10-21,829.0
2015-10-20,827.0
2015-10-19,1013.0
2015-10-18,949.0
