Date,Value
2016-02-12,15202500.0
2016-02-11,15198525.0
2016-02-10,15193725.0
2016-02-09,15189500.0
2016-02-08,15185275.0
2016-02-07,15181250.0
2016-02-06,15176700.0
2016-02-05,15171925.0
2016-02-04,15167425.0
2016-02-03,15162800.0
2016-02-02,15158450.0
2016-02-01,15158500.0
2016-01-31,15154475.0
2016-01-30,15150200.0
2016-01-29,15145150.0
2016-01-28,15140450.0
2016-01-27,15136950.0
2016-01-26,15133225.0
2016-01-25,15129275.0
2016-01-24,15125000.0
2016-01-23,15121175.0
2016-01-22,15116575.0
2016-01-21,15111475.0
2016-01-20,15108550.0
2016-01-19,15104450.0
2016-01-18,15101700.0
2016-01-17,15096725.0
2016-01-16,15092950.0
2016-01-15,15089100.0
2016-01-14,15086325.0
2016-01-13,15083325.0
2016-01-12,15080100.0
2016-01-11,15075625.0
2016-01-10,15071700.0
2016-01-09,15066800.0
2016-01-08,15063200.0
2016-01-07,15057900.0
2016-01-06,15054750.0
2016-01-05,15051450.0
2016-01-04,15048175.0
2016-01-03,15042600.0
2016-01-02,15039000.0
2016-01-01,15035300.0
2015-12-31,15032100.0
2015-12-30,15025000.0
2015-12-29,15020675.0
2015-12-28,15016875.0
2015-12-27,15012850.0
2015-12-26,15007975.0
2015-12-25,15003325.0
2015-12-24,14999975.0
2015-12-23,14996250.0
2015-12-22,14992125.0
2015-12-21,14988600.0
2015-12-20,14984750.0
2015-12-19,14980525.0
2015-12-18,14976650.0
2015-12-17,14972650.0
2015-12-16,14968675.0
2015-12-15,14964475.0
2015-12-14,14959650.0
2015-12-13,14955250.0
2015-12-12,14951525.0
2015-12-11,14947350.0
2015-12-10,14942975.0
2015-12-09,14938075.0
2015-12-08,14933650.0
2015-12-07,14929675.0
2015-12-06,14925900.0
2015-12-05,14921600.0
2015-12-04,14917400.0
2015-12-03,14913750.0
2015-12-02,14910150.0
2015-12-01,14906475.0
2015-11-30,14901675.0
2015-11-29,14897925.0
2015-11-28,14894000.0
2015-11-27,14890350.0
2015-11-26,14886625.0
2015-11-25,14882575.0
2015-11-24,14878725.0
2015-11-23,14874925.0
2015-11-22,14870925.0
2015-11-21,14866575.0
2015-11-20,14862125.0
2015-11-19,14858150.0
2015-11-18,14854650.0
2015-11-17,14851150.0
2015-11-16,14847125.0
2015-11-15,14842725.0
2015-11-14,14839100.0
2015-11-13,14835300.0
2015-11-12,14831125.0
2015-11-11,14827475.0
2015-11-10,14823050.0
2015-11-09,14819475.0
2015-11-08,14815800.0
2015-11-07,14812300.0
2015-11-06,14808225.0
2015-11-05,14804800.0
2015-11-04,14801075.0
2015-11-03,14797200.0
2015-11-02,14793250.0
2015-11-01,14789625.0
2015-10-31,14785650.0
2015-10-30,14781850.0
2015-10-29,14777750.0
2015-10-28,14774050.0
2015-10-27,14770650.0
2015-10-26,14766700.0
2015-10-25,14762900.0
2015-10-24,14759025.0
2015-10-23,14755550.0
2015-10-22,14751700.0
2015-10-21,14747775.0
2015-10-20,14744150.0
2015-10-19,14740975.0
2015-10-18,14736825.0
2015-10-17,14733250.0
2015-10-16,14729975.0
2015-10-15,14726100.0
2015-10-14,14722025.0
2015-10-13,14718225.0
2015-10-12,14714875.0
2015-10-11,14711375.0
2015-10-10,14707625.0
2015-10-09,14703900.0
2015-10-08,14700575.0
2015-10-07,14697150.0
2015-10-06,14693775.0
2015-10-05,14690050.0
2015-10-04,14686350.0
2015-10-03,14682575.0
2015-10-02,14678775.0
2015-10-01,14675650.0
2015-09-30,14671800.0
2015-09-29,14667925.0
2015-09-28,14663600.0
