Date	USD_Price_BTC
3-31-13	94.9
4-1-13	100.03
4-2-13	108.69
4-3-13	127.98
4-4-13	131.61
4-5-13	138.36
4-6-13	143
4-7-13	156.26
4-8-13	182.27
4-9-13	220.24
4-10-13	179.31
4-11-13	140.26
4-12-13	88.23
4-13-13	107.79
4-14-13	100.54
4-15-13	86.56
4-16-13	66.74
4-17-13	87.84
4-18-13	99.1
4-19-13	120.16
4-20-13	123.25
4-21-13	121.48
4-22-13	124.14
4-23-13	136.89
4-24-13	152.89
4-25-13	144.01
4-26-13	132.21
4-27-13	131.98
4-28-13	134.12
4-29-13	142
4-30-13	139.92
5-1-13	120.4
5-2-13	104.88
5-3-13	90.84
5-4-13	108.65
5-5-13	113.97
5-6-13	117.1
5-7-13	106.21
5-8-13	112.8
5-9-13	111.86
5-10-13	117.85
5-11-13	115.27
5-12-13	115.56
5-13-13	116.88
5-14-13	113.1
5-15-13	111.04
5-16-13	113.47
5-17-13	116.86
5-18-13	117.53
5-19-13	117.94
5-20-13	118.02
5-21-13	117.5
5-22-13	118.71
5-23-13	121.38
5-24-13	126.58
5-25-13	128.05
5-26-13	129.56
5-27-13	127.51
5-28-13	125.38
5-29-13	128.06
5-30-13	127.97
5-31-13	127.37
6-1-13	128.16
6-2-13	122.06
6-3-13	120.42
6-4-13	120.59
6-5-13	120.82
6-6-13	119.79
6-7-13	113.27
6-8-13	109.46
6-9-13	98.2
6-10-13	101.23
6-11-13	106.51
6-12-13	107.69
6-13-13	102.65
6-14-13	99.87
6-15-13	100.54
6-16-13	99.81
6-17-13	99.85
6-18-13	105.22
6-19-13	105.28
6-20-13	104.38
6-21-13	101.53
6-22-13	100.23
6-23-13	99.8
6-24-13	98.8
6-25-13	99.22
6-26-13	98.51
6-27-13	95.84
6-28-13	91.47
6-29-13	89.45
6-30-13	89.25
7-1-13	84.91
7-2-13	86.66
7-3-13	80.52
7-4-13	76.58
7-5-13	69.94
7-6-13	67.39
7-7-13	69.76
7-8-13	73.94
7-9-13	73.42
7-10-13	82.17
7-11-13	86.59
7-12-13	93.1
7-13-13	89.5
7-14-13	91.64
7-15-13	93.45
7-16-13	92.16
7-17-13	91.22
7-18-13	81.95
7-19-13	85.11
7-20-13	85.74
7-21-13	85.54
