Timestamp	Volume_BTC	Volume_Currency	Weighted_Price
8/14/11	17.35	183.05	10.55
8/15/11	27.99	296.83	10.6
8/16/11	9.19	102.32	11.14
8/17/11	41.29	436.26	10.56
8/18/11	12.42	131.55	10.59
8/19/11	44.16	484.07	10.96
8/20/11	25.27	277.25	10.97
8/21/11	66.85	772.08	11.55
8/22/11	59.18	651.11	11
8/23/11	17.59	189.73	10.79
8/24/11	36.72	396.09	10.79
8/25/11	62.03	634.05	10.22
8/26/11	22.19	193.27	8.71
8/27/11	11.25	96.63	8.59
8/28/11	4.57	39.23	8.58
8/29/11	34.01	298.67	8.78
8/30/11	37.06	322.23	8.7
8/31/11	34.84	300.28	8.62
9/1/11	9.15	74.4	8.13
9/2/11	21.74	179.57	8.26
9/3/11	30.24	261.36	8.64
9/4/11	46.11	384.32	8.34
9/5/11	48.09	379.7	7.9
9/6/11	62.51	444.07	7.1
9/7/11	45.3	314.33	6.94
9/8/11	58.11	385.14	6.63
9/9/11	106.94	580.02	5.42
9/10/11	154.86	789.05	5.1
9/11/11	1358.12	7127.32	5.25
9/12/11	318.57	1898.62	5.96
9/13/11	2330.3	12301.77	5.28
9/14/11	1530.77	7856.75	5.13
9/15/11	2387.31	10888.19	4.56
9/16/11	647.46	2942.96	4.55
9/17/11	2792.42	12572.89	4.5
9/18/11	2541.14	11513.81	4.53
9/19/11	3058.29	14335.12	4.69
9/20/11	3417.02	20035.47	5.86
9/21/11	3801.25	20458.82	5.38
9/22/11	3516.23	17728.44	5.04
9/23/11	2184.44	11320.96	5.18
9/24/11	2222.55	11294.82	5.08
9/25/11	2719.77	13627.36	5.01
9/26/11	2712.81	12665.44	4.67
9/27/11	7570.52	34636.52	4.58
9/28/11	4327.12	19581.33	4.53
9/29/11	2783.78	12560.56	4.51
9/30/11	1434.53	6729.58	4.69
10/1/11	506.59	2532.97	5
10/2/11	525.29	2605.36	4.96
10/3/11	2249.64	10684.9	4.75
10/4/11	4071.8	19092.7	4.69
10/5/11	2869.86	13305.33	4.64
10/6/11	2664.68	12045.88	4.52
10/7/11	1229.8	5434.21	4.42
10/8/11	570.3	2306.26	4.04
10/9/11	238.53	982.95	4.12
10/10/11	589.64	2430.35	4.12
10/11/11	655.27	2635.02	4.02
10/12/11	619.05	2410.33	3.89
10/13/11	853.83	3460.35	4.05
10/14/11	1292.65	5002.52	3.87
10/15/11	803.24	3158.97	3.93
10/16/11	1311.22	4787.4	3.65
10/17/11	1239.45	3312.82	2.67
10/18/11	506.56	1304.14	2.57
10/19/11	615.01	1443.86	2.35
10/20/11	450.43	995.41	2.21
10/21/11	838.5	2104.56	2.51
10/22/11	1196.26	3436.29	2.87
10/23/11	720.27	2231.77	3.1
10/24/11	506.87	1424.3	2.81
10/25/11	884.02	2381.17	2.69
10/26/11	657.8	1791.09	2.72
10/27/11	753.46	2114.92	2.81
10/28/11	927.21	2787	3.01
10/29/11	902.32	3149.52	3.49
10/30/11	1017.68	3476.93	3.42
10/31/11	493.49	1559.75	3.16
11/1/11	734.47	2317.74	3.16
11/2/11	416.75	1347.33	3.23
11/3/11	401.53	1303.15	3.25
11/4/11	995.48	3138.87	3.15
11/5/11	450.1	1381.63	3.07
11/6/11	107.94	319.02	2.96
11/7/11	488.32	1432.95	2.93
11/8/11	1731.8	5254.26	3.03
11/9/11	596.99	1746.91	2.93
11/10/11	657.86	1834.23	2.79
11/11/11	374.03	1071.22	2.86
11/12/11	609.43	1802.89	2.96
11/13/11	125.84	370.52	2.94
11/14/11	2105.06	5557.34	2.64
11/15/11	1097.78	2595.77	2.36
11/16/11	620.13	1480.69	2.39
11/17/11	3253.59	7062.77	2.17
11/18/11	1341.66	2933.61	2.19
11/19/11	1403.87	2966.34	2.11
11/20/11	1035.11	2242.51	2.17
11/21/11	1727.96	3696.07	2.14
11/22/11	736.76	1658.98	2.25
11/23/11	1115.58	2516.31	2.26
11/24/11	1593.6	3675.71	2.31
11/25/11	777.37	1847.47	2.38
11/26/11	284.01	681.44	2.4
11/27/11	398.48	968.72	2.43
11/28/11	1077.82	2698.71	2.5
11/29/11	735.79	2024.16	2.75
11/30/11	843.15	2392.44	2.84
12/1/11	1405.7	4156.28	2.96
12/2/11	923.2	2756.99	2.99
12/3/11	911.06	2704.47	2.97
12/4/11	550.34	1476.82	2.68
12/5/11	440.84	1241.23	2.82
12/6/11	1286.17	3734.16	2.9
12/7/11	1045.69	2916.18	2.79
12/8/11	1192.92	3341.4	2.8
12/9/11	960.7	2747.82	2.86
12/10/11	1115.74	3195.3	2.86
12/11/11	1576.06	4752.04	3.02
12/12/11	881.59	2679.18	3.04
12/13/11	755.97	2297.09	3.04
12/14/11	1203.73	3708.01	3.08
12/15/11	585.09	1804.91	3.08
12/16/11	975.38	3026.34	3.1
12/17/11	477.04	1524.76	3.2
12/18/11	559.38	1773.48	3.17
12/19/11	1400.79	4597.2	3.28
12/20/11	988.67	3930.77	3.98
12/21/11	817.51	3115.55	3.81
12/22/11	407.13	1543.03	3.79
12/23/11	455.01	1799.47	3.95
12/24/11	618.61	2364.85	3.82
12/25/11	238.36	953.83	4
12/26/11	552.9	2211.38	4
12/27/11	1209.54	4670.52	3.86
12/28/11	746.45	3008.97	4.03
12/29/11	738.2	3055.91	4.14
12/30/11	605.61	2471.43	4.08
12/31/11	1230.87	5396.44	4.38
1/1/12	1185.14	5929.68	5
1/2/12	420.28	2175.86	5.18
1/3/12	943.12	4591.03	4.87
1/4/12	1024.52	5331.76	5.2
1/5/12	2380.99	14777.42	6.21
1/6/12	2763.12	17945.15	6.49
1/7/12	436.75	2751.3	6.3
1/8/12	2005.99	13143.14	6.55
1/9/12	1148.63	7530.78	6.56
1/10/12	525.3	3354.23	6.39
1/11/12	1166.15	7559.44	6.48
1/12/12	959.07	6235.39	6.5
1/13/12	752.41	4843.87	6.44
1/14/12	1069.31	6935.2	6.49
1/15/12	448.97	3016.99	6.72
1/16/12	1190.27	7864.91	6.61
1/17/12	688.62	4342.22	6.31
1/18/12	549.57	3332.55	6.06
1/19/12	391.53	2366.26	6.04
1/20/12	474.4	2896.55	6.11
1/21/12	257.85	1541.09	5.98
1/22/12	310.32	1839.82	5.93
1/23/12	808.29	4778.38	5.91
1/24/12	332.99	1974.72	5.93
1/25/12	769.87	4541.17	5.9
1/26/12	499.6	2763.94	5.53
1/27/12	1412.38	7164.98	5.07
1/28/12	841.8	4375.47	5.2
1/29/12	653.67	3607.67	5.52
1/30/12	439.65	2338.15	5.32
1/31/12	757.7	4005.75	5.29
2/1/12	1210.2	6526.9	5.39
2/2/12	755.89	4355.21	5.76
2/3/12	1027.39	5949.66	5.79
2/4/12	398.3	2321.97	5.83
2/5/12	991.89	5540.68	5.59
2/6/12	506.28	2711.81	5.36
2/7/12	759.13	3999.08	5.27
2/8/12	1229.68	6649.97	5.41
2/9/12	1016.89	5624.4	5.53
2/10/12	989.56	5586.64	5.65
2/11/12	1150.79	6487.92	5.64
2/12/12	1144.79	6265.5	5.47
2/13/12	847.66	4527.91	5.34
2/14/12	1509.65	6795.14	4.5
2/15/12	990.9	4537	4.58
2/16/12	805.01	3332.98	4.14
2/17/12	984.27	4212.82	4.28
2/18/12	490.32	2049.28	4.18
2/19/12	703.46	2844.14	4.04
2/20/12	1521.48	6609.37	4.34
2/21/12	1051.24	4451.17	4.23
2/22/12	1539.87	6495.28	4.22
2/23/12	1343.41	5898.03	4.39
2/24/12	1585.89	7176.05	4.52
2/25/12	497.6	2264.04	4.55
2/26/12	1117.18	5132.49	4.59
2/27/12	1405.37	6414.34	4.56
2/28/12	1072.59	4856.96	4.53
2/29/12	2179.74	9432.49	4.33
3/1/12	1752.55	7754.25	4.42
3/2/12	784.02	3384.17	4.32
3/3/12	860.91	3697.21	4.29
3/4/12	701.63	3025.89	4.31
3/5/12	2299.57	10083.42	4.38
3/6/12	1596.23	7364.19	4.61
3/7/12	1531.29	7067.99	4.62
3/8/12	775.13	3586.3	4.63
3/9/12	1398.93	6308.14	4.51
3/10/12	1562.65	6870.28	4.4
3/11/12	1567.23	6998.04	4.47
3/12/12	2177.38	9783.05	4.49
3/13/12	3729.09	17338.86	4.65
3/14/12	2537.72	12392.15	4.88
3/15/12	2721.1	13179.58	4.84
3/16/12	1403.35	6861.8	4.89
3/17/12	1048.46	5173.05	4.93
3/18/12	2855.02	14043.54	4.92
3/19/12	2383.2	11324.75	4.75
